center_frequency,ber_channel_count,ber_p95_mean,ber_p95_max,ber_risk_score_max,ber_critical_count,ber_warning_count,power_channel_count,power_mean,power_min,power_range_mean,power_risk_score_max,power_critical_count,power_warning_count,frequency_status,frequency_risk_score,recommended_check,priority,issue_category
193100000.0,2.0,0.0015444999999999,0.001789,34.0,0,0,,,,,,0,0,Normal,34.0,No immediate action. Continue regular monitoring.,P3,No abnormal behavior detected
191400000.0,2.0,0.0008189975,0.00157,27.0,0,0,,,,,,0,0,Normal,27.0,No immediate action. Continue regular monitoring.,P3,No abnormal behavior detected
191700000.0,2.0,0.0005211,0.00101,18.0,0,0,,,,,,0,0,Normal,18.0,No immediate action. Continue regular monitoring.,P3,No abnormal behavior detected
191500000.0,2.0,0.0004641999999999,0.0009002999999999,16.0,0,0,,,,,,0,0,Normal,16.0,No immediate action. Continue regular monitoring.,P3,No abnormal behavior detected
191900000.0,2.0,0.0003196999999999,0.0006182999999999,14.0,0,0,,,,,,0,0,Normal,14.0,No immediate action. Continue regular monitoring.,P3,No abnormal behavior detected
191900.0,,,,,0,0,36.0,4.9504904350027,-0.47,3.0997533564166666,98.96,0,22,Warning,98.96,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
194400.0,,,,,0,0,72.0,3.317600397251619,-0.565844947,0.341877909625,98.81,0,8,Warning,98.81,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
191700.0,,,,,0,0,36.0,5.094811429621931,-0.4,2.869739163888889,98.44,0,23,Warning,98.44,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
193300.0,,,,,0,0,72.0,3.3199231137884286,-0.135920749,0.3750966979027778,98.0,0,8,Warning,98.0,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
192000000.0,2.0,0.003308,0.004347,98.0,0,1,,,,,,0,0,Warning,98.0,Monitor Pre-FEC BER trend and compare A/Z side behavior. Check non-power optical impairments if trend worsens.,P2,BER warning only
192600.0,,,,,0,0,78.0,3.646843175092015,0.262196214,0.4170950501282052,97.33,0,4,Warning,97.33,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
193800.0,,,,,0,0,72.0,3.306702685365627,0.971424274,0.792225046125,96.22,0,13,Warning,96.22,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
192400.0,,,,,0,0,76.0,4.075036345924889,1.01,0.6827313674078948,96.07,0,4,Warning,96.07,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
194400000.0,4.0,0.00292775,0.004042,96.0,0,1,,,,,,0,0,Warning,96.0,Monitor Pre-FEC BER trend and compare A/Z side behavior. Check non-power optical impairments if trend worsens.,P2,BER warning only
192000.0,,,,,0,0,76.0,3.809332326272033,1.041105746,0.5069936196973684,95.99,0,4,Warning,95.99,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
192300.0,,,,,0,0,72.0,3.9010589895854633,1.24,0.7996051671527779,95.4,0,5,Warning,95.4,Monitor optical channel power drift and EDFA gain/tilt. Check equalization if drift continues.,P2,Optical power warning only
193000000.0,4.0,0.002826,0.003725,94.0,0,1,,,,,,0,0,Warning,94.0,Monitor Pre-FEC BER trend and compare A/Z side behavior. Check non-power optical impairments if trend worsens.,P2,BER warning only
192500000.0,4.0,0.002495,0.003518,92.0,0,1,,,,,,0,0,Warning,92.0,Monitor Pre-FEC BER trend and compare A/Z side behavior. Check non-power optical impairments if trend worsens.,P2,BER warning only
